"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1000","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1007","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1009","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU10161","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1041","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1046","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1069","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU10763","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU10869","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1099","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU111","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1116","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1121","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU11335","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1152","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1174","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1176","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU11773","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1183","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU11894","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU119","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1205","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1221","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1228","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU12457","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1297","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU13067","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1331","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1332","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1351","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU13603","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU13681","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1389","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1482","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU15091","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU151","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1525","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU154","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU15409","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU15634","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1581","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1584","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU15912","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU16087","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU16468","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU16519","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU16534","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU16581","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU168","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1683","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU17081","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU17264","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU17511","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU178","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU179","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1847","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU19096","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU19520","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1955","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU196","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU19717","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1991","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU19971","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU201","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU2026","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
