,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU316,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Kineosporiales,f__Kineosporiaceae,g__Kineococcus,s__
OTU3161,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__MND1,s__
OTU31623,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU317,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__,g__,s__
OTU3170,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU31710,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU31792,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Pajaroellobacter,s__
OTU318,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__
OTU3181,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__,s__
OTU31867,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__
OTU319,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodomicrobiaceae,g__Rhodomicrobium,s__
OTU31917,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__,s__
OTU32,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__
OTU320,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__,g__,s__
OTU3201,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU32015,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__,s__
OTU32020,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__,g__,s__
OTU3204,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__
OTU32071,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__
OTU321,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaerotruncus,s__
OTU32191,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__
OTU322,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__
OTU3224,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU323,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__,s__
OTU32305,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__
OTU32317,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Ellin6067,s__
OTU324,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__
OTU3244,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__Nordella,s__
OTU32461,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU32471,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__
OTU325,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas_chelatiphaga
OTU326,k__Bacteria,p__Chloroflexi,c__OLB14,o__,f__,g__,s__
OTU32660,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__
OTU3267,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__
OTU327,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__
OTU32761,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__
OTU32763,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__
OTU328,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__,g__,s__
OTU3280,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU3286,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__
OTU3288,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU329,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__
OTU3292,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU32996,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__,s__
OTU33,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__Nordella,s__Nordella_oligomobilis
OTU330,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU33011,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__
OTU3302,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
OTU33024,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__,s__
OTU33029,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ramlibacter,s__
OTU331,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto_1,s__
OTU33191,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__
OTU332,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__,g__,s__
OTU333,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_acidifaciens
OTU33301,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU33325,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__,g__,s__
OTU3338,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__
OTU3339,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__
OTU33397,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU334,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Tetragenococcus,s__Tetragenococcus_halophilus_subsp
OTU335,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
OTU3354,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU336,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__
OTU3361,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
OTU3362,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU33661,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__
OTU3369,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU337,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Glycomycetales,f__Glycomycetaceae,g__Glycomyces,s__Glycomyces_sp
OTU33703,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__
OTU33728,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU3376,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__
OTU33840,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Aquabacterium,s__Aquabacterium_citratiphilum
OTU3387,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__
OTU339,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__,g__,s__
OTU3392,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__,s__
OTU3396,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU34,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Phyllobacterium,s__
OTU340,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__
OTU34020,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Chryseolinea,s__
OTU341,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Lechevalieria,s__
OTU342,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU34208,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU34239,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,s__
OTU34298,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__
OTU343,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__
OTU344,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Blastocatellales,f__Blastocatellaceae,g__Aridibacter,s__
OTU345,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__
OTU3457,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatirosa,s__
OTU346,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Domibacillus,s__
OTU34624,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__
OTU34629,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__,g__,s__
OTU34634,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__
OTU34640,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__
OTU3467,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__,s__
OTU34672,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__
OTU347,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__,s__
OTU3470,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__
OTU34771,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__,s__
OTU348,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aureimonas,s__
OTU34898,k__Bacteria,p__,c__,o__,f__,g__,s__
OTU349,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
OTU3496,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Caenimonas,s__
OTU35,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__
OTU350,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,s__
OTU35045,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Tardiphaga,s__
OTU35086,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__,s__
OTU351,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__
OTU3513,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__,g__,s__
OTU35138,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__,s__
OTU35146,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Massilia,s__
OTU352,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__Bacteroidetes_bacterium_GS
OTU3526,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__
OTU35295,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__
OTU353,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__Chitinophaga_oryziterrae
OTU3530,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__211ds20,f__,g__,s__
OTU35300,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__
OTU35379,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__
OTU3539,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__,s__
OTU354,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__,f__,g__,s__
OTU35483,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Psychroglaciecola,s__
OTU355,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__,g__,s__
OTU3551,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__
OTU35524,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__,s__
OTU35533,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Variovorax,s__
OTU35538,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__,s__
OTU3555,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__
OTU35588,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__MND1,s__
OTU35598,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU356,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae,g__Polycyclovorans,s__
OTU3566,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__,s__
OTU35694,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU357,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__,g__,s__
OTU3572,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__,g__,s__
OTU3576,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__,g__,s__
OTU358,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
OTU35816,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU359,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium,s__
OTU35923,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3,g__Bryobacter,s__
OTU3596,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__,g__,s__
OTU36,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__,g__,s__
OTU360,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__,g__,s__
OTU3600,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__,s__
OTU3608,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__,s__
OTU361,k__Bacteria,p__Acidobacteria,c__Subgroup_11,o__,f__,g__,s__
OTU36150,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Variovorax,s__
OTU36188,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__,g__,s__
OTU362,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__
OTU3624,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Hydrogenophaga,s__
OTU36255,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__
OTU363,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Parasegetibacter,s__
OTU36362,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__,s__
OTU36377,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__
OTU364,k__Bacteria,p__Epsilonbacteraeota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__
OTU36481,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__
OTU365,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Thalassobaculales,f__,g__,s__
OTU3659,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
OTU366,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Roseimicrobium,s__Roseimicrobium_gellanilyticum
OTU3661,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__,f__,g__,s__
OTU36668,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__,g__,s__
OTU367,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__Globodera_pallida
OTU368,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__
OTU3680,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__
OTU369,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
OTU37,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__
OTU370,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Brachyspira_sp
OTU37055,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__,g__,s__
OTU371,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__
OTU37121,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__
OTU37132,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,s__
